Submission Number,Date,Rating,Status,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended
661,3rd March 2020,2,Trip Verified,A319,Business,Business Class,Paris to London,20-Feb,1,4,1,1,no
662,3rd March 2020,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Singapore to London,20-Feb,3,3,1,1,no
663,28th February 2020,4,Not Verified,Unknown,Solo Leisure,Economy Class,Gatwick to Malaga,20-Feb,2,3,3,3,no
664,28th February 2020,10,Trip Verified,Boeing 747-400,Solo Leisure,Premium Economy,Vancouver to London,20-Feb,4,5,4,5,yes
665,27th February 2020,3,Trip Verified,Boeing 787,Business,Business Class,London to Seattle,20-Feb,Unknown,Unknown,Unknown,1,no
666,26th February 2020,6,Trip Verified,Boeing 777,Solo Leisure,First Class,London Heathrow to Nairobi,20-Feb,3,5,2,3,no
667,24th February 2020,1,Trip Verified,Unknown,Couple Leisure,Premium Economy,Dubai to London,20-Feb,1,1,1,1,no
668,23rd February 2020,4,Trip Verified,Unknown,Couple Leisure,Business Class,London to Cape Town,20-Feb,4,2,3,3,no
669,21st February 2020,1,Not Verified,Boeing 787,Solo Leisure,Economy Class,Rio de Janeiro to London ,20-Feb,1,3,1,2,no
670,15th February 2020,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Johannesburg to Dublin via London,20-Feb,1,1,1,1,no
671,14th February 2020,3,Trip Verified,Boeing 747-400,Couple Leisure,Business Class,Las Vegas to Paris via London,20-Feb,1,4,4,1,no
672,14th February 2020,1,Trip Verified,A320,Couple Leisure,Economy Class,Geneva to Gatwick,20-Jan,Unknown,Unknown,1,1,no
673,5th February 2020,9,Trip Verified,Unknown,Solo Leisure,Economy Class,Mexico City to Manchester via London,20-Jan,5,5,5,4,yes
674,4th February 2020,8,Trip Verified,A321,Solo Leisure,Business Class,London Heathrow to Sofia,19-Oct,4,4,5,4,yes
675,2nd February 2020,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Manchester to Melbourne via London / Singapore,19-Jul,2,3,1,1,no
676,1st February 2020,3,Trip Verified,A321neo,Business,Business Class,Madrid to London ,20-Jan,2,3,3,2,no
677,30th January 2020,7,Trip Verified,A320,Family Leisure,Economy Class,Prague to London,20-Jan,5,5,3,5,yes
678,29th January 2020,7,Trip Verified,A380-800,Couple Leisure,Business Class,Johannesburg to London,20-Jan,3,4,3,3,yes
679,29th January 2020,3,Trip Verified,Boeing 777-200,Business,Business Class,Las Vegas to Gatwick,20-Jan,2,2,4,1,no
680,28th January 2020,5,Trip Verified,Boeing 747-400,Business,Business Class,San Diego to Stockholm via London,20-Jan,5,5,1,3,no
681,28th January 2020,8,Not Verified,A320,Couple Leisure,Business Class,Cape Town to Johannesburg,20-Jan,4,4,4,4,yes
682,28th January 2020,10,Trip Verified,Unknown,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen ,19-Dec,5,5,5,5,yes
683,28th January 2020,8,Trip Verified,Boeing 787-9,Business,Business Class,Phoenix to London,20-Jan,3,5,3,5,yes
684,26th January 2020,5,Trip Verified,Boeing 777-200,Solo Leisure,Economy Class,London Heathrow to Bangkok,20-Jan,2,4,4,2,no
685,25th January 2020,6,Trip Verified,Boeing 777-200ER,Solo Leisure,Economy Class,Mumbai to Boston via London,20-Jan,2,5,1,3,yes
686,23rd January 2020,1,Trip Verified,Unknown,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana",19-Dec,1,1,1,1,no
687,22nd January 2020,7,Trip Verified,Boeing 787 / A320,Solo Leisure,Economy Class,Toronto to Geneva via London,20-Jan,4,5,4,3,yes
688,21st January 2020,9,Trip Verified,Boeing 777-300,Solo Leisure,First Class,Hong Kong to London,20-Jan,4,5,4,4,yes
689,20th January 2020,3,Trip Verified,Boeing 787,Business,Economy Class,San Jose to Amsterdam via London,20-Jan,1,1,2,3,no
690,20th January 2020,1,Trip Verified,Boeing 777,Couple Leisure,Business Class,Singapore to Paris via London,20-Jan,3,4,1,2,no
691,20th January 2020,9,Trip Verified,A321neo,Solo Leisure,Economy Class,Warsaw to London,20-Jan,5,5,4,5,yes
692,18th January 2020,8,Not Verified,Boeing 747-400,Family Leisure,Economy Class,New York  to London Heathrow,20-Jan,4,5,5,4,yes
693,18th January 2020,3,Not Verified,Unknown,Family Leisure,Economy Class,London to Los Angeles,19-Dec,2,1,1,3,no
694,17th January 2020,7,Not Verified,Boeing 737-800,Couple Leisure,Business Class,Johannesburg to Cape Town,20-Jan,3,3,4,4,yes
695,17th January 2020,2,Trip Verified,Unknown,Business,Business Class,London to Bangkok,20-Jan,2,1,2,2,no
696,16th January 2020,8,Not Verified,A380,Couple Leisure,Business Class,London to Johannesburg,20-Jan,4,4,4,4,yes
697,14th January 2020,7,Trip Verified,Boeing 777-200 / 747-400,Solo Leisure,Economy Class,Boston to Mumbai via London,19-Dec,2,5,1,5,yes
698,12th January 2020,1,Trip Verified,Unknown,Couple Leisure,Business Class,Los Angeles to London,20-Jan,1,1,1,1,no
699,12th January 2020,2,Trip Verified,Unknown,Solo Leisure,Premium Economy,Gatwick to Cancun,20-Jan,3,1,3,2,no
700,11th January 2020,9,Trip Verified,A320,Solo Leisure,Business Class,London Gatwick to Glasgow,20-Jan,4,5,5,4,yes
701,11th January 2020,10,Trip Verified,Boeing 787-8,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,19-Dec,5,5,4,5,yes
702,11th January 2020,3,Trip Verified,A320,Business,Business Class,Gatwick to Tirana,20-Jan,1,3,4,2,yes
703,11th January 2020,10,Not Verified,A320,Couple Leisure,Business Class,Keflavik to London Heathrow,20-Jan,3,5,4,5,yes
704,7th January 2020,1,Not Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Vancouver,20-Jan,1,3,2,1,no
705,7th January 2020,3,Trip Verified,Unknown,Couple Leisure,Economy Class,Tokyo to London Heathrow,20-Jan,2,1,5,1,no
706,6th January 2020,5,Trip Verified,A380,Couple Leisure,Business Class,London to Hong Kong,19-Dec,3,4,1,3,no
707,6th January 2020,1,Not Verified,Boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,20-Jan,1,3,1,1,no
708,5th January 2020,3,Trip Verified,A320,Solo Leisure,Economy Class,Istanbul to London,20-Jan,2,2,1,1,no
709,4th January 2020,2,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Bucharest,19-Dec,2,2,1,1,no
710,3rd January 2020,9,Trip Verified,Boeing 787-9,Solo Leisure,Business Class,London to Rio De Janeiro,19-Dec,5,5,4,5,yes
711,30th December 2019,3,Trip Verified,A321neo,Family Leisure,Economy Class,London to Athens,19-Dec,3,1,3,4,no
712,30th December 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Copenhagen to London,19-Dec,2,1,1,1,no
713,29th December 2019,6,Trip Verified,A320,Solo Leisure,Economy Class,Budapest to Billund via London,19-Dec,3,3,4,3,yes
714,27th December 2019,8,Not Verified,Unknown,Solo Leisure,Economy Class,Cape Town to Brussels via London,19-Dec,3,5,4,4,yes
715,27th December 2019,9,Not Verified,Boeing 777-300ER,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,19-Dec,5,5,4,5,yes
716,24th December 2019,7,Trip Verified,A321neo,Solo Leisure,Business Class,Sofia to London,19-Oct,3,4,3,4,yes
717,24th December 2019,10,Trip Verified,Unknown,Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,19-Dec,5,5,5,5,yes
718,22nd December 2019,1,Trip Verified,A320,Solo Leisure,Economy Class,London to Munich,19-Dec,2,1,1,1,no
719,21st December 2019,1,Trip Verified,Unknown,Family Leisure,Economy Class,Hong Kong to London,19-Dec,Unknown,Unknown,Unknown,2,no
720,18th December 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London to Paris,19-Aug,2,2,1,1,no
721,18th December 2019,4,Trip Verified,Boeing 777 - 200,Business,Economy Class,New York to London,19-Dec,2,2,5,5,no
722,16th December 2019,1,Trip Verified,Unknown,Family Leisure,Premium Economy,Austin to London,19-Oct,Unknown,Unknown,Unknown,1,no
723,15th December 2019,1,Not Verified,Unknown,Couple Leisure,Economy Class,Frankfurt to London,19-Dec,1,1,1,1,no
724,14th December 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Glasgow,19-Dec,1,1,1,1,no
725,13th December 2019,9,Trip Verified,Boeing 747-400,Business,Business Class,London to San Francisco ,19-Dec,3,5,5,4,yes
726,11th December 2019,1,Not Verified,A319,Couple Leisure,Economy Class,Heathrow to Belfast,19-Dec,2,5,1,3,no
727,10th December 2019,9,Not Verified,A380,Solo Leisure,Business Class,London to Singapore,19-Oct,4,5,5,5,yes
728,8th December 2019,1,Trip Verified,Unknown,Business,Economy Class,Toulouse to London,19-Nov,1,1,3,1,no
729,8th December 2019,8,Trip Verified,A319,Solo Leisure,Business Class,London Heathrow to Stockholm,19-Nov,3,5,5,4,yes
730,8th December 2019,1,Trip Verified,A380,Family Leisure,Economy Class,Johannesburg to London,19-Nov,1,3,2,1,no
731,8th December 2019,7,Trip Verified,A380,Couple Leisure,Business Class,Johannesburg to London,19-Dec,3,3,3,4,yes
732,8th December 2019,9,Trip Verified,Boeing 747-400,Solo Leisure,First Class,London Heathrow to Miami,19-Nov,4,5,5,5,yes
733,8th December 2019,8,Trip Verified,A319,Solo Leisure,Business Class,Stockholm to London Heathrow,19-Nov,3,5,5,4,yes
734,8th December 2019,8,Not Verified,Boeing 777-300,Couple Leisure,Economy Class,London to Sydney via Singapore,19-Nov,3,4,3,4,yes
735,4th December 2019,1,Trip Verified,Boeing 747-400,Couple Leisure,Business Class,London to New York JFK,19-Nov,1,4,1,1,no
736,4th December 2019,3,Trip Verified,Boeing 777-200,Solo Leisure,Business Class,Gatwick to Bridgetown,19-Dec,3,2,3,2,no
737,2nd December 2019,5,Trip Verified,Boeing 777,Business,Business Class,Brussels to Bangkok via London,19-Nov,4,2,4,3,no
738,28th November 2019,1,Trip Verified,Boeing 777-200,Business,Economy Class,San Francisco to Oslo via London,19-Nov,1,2,1,1,no
739,27th November 2019,4,Trip Verified,Unknown,Couple Leisure,Economy Class,Los Angeles to Berlin via London,19-Nov,3,1,1,1,no
740,26th November 2019,7,Not Verified,A380,Couple Leisure,Business Class,London to Johannesburg ,19-Nov,3,3,3,3,yes
741,25th November 2019,3,Trip Verified,Unknown,Business,Premium Economy,London to Bangalore,19-Nov,4,4,2,2,no
742,24th November 2019,10,Not Verified,Unknown,Solo Leisure,Economy Class,London to Sydney via Singapore,19-Nov,5,5,5,5,yes
743,24th November 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Lisbon to London,19-Nov,1,Unknown,1,1,no
744,20th November 2019,3,Not Verified,Unknown,Solo Leisure,Economy Class,London Heathrow to Glasgow,19-Nov,4,3,4,2,no
745,19th November 2019,9,Trip Verified,Boeing 787-9,Family Leisure,Economy Class,doha to londonDoha to London,19-Nov,5,5,5,5,yes
746,18th November 2019,4,Trip Verified,Unknown,Family Leisure,Economy Class,London to Buenos Aires,19-Nov,2,3,3,2,no
747,18th November 2019,5,Trip Verified,A380,Couple Leisure,Economy Class,San Francisco to London,19-Nov,4,2,3,3,no
748,18th November 2019,1,Trip Verified,Boeing 777-300,Business,Business Class,Sydney to Singapore,19-Nov,1,1,2,1,no
749,18th November 2019,1,Trip Verified,Boeing 777,Family Leisure,Economy Class,London to Mauritius,19-Nov,1,4,1,2,no
750,17th November 2019,10,Trip Verified,Unknown,Business,Business Class,Los Angeles to Amsterdam via London,19-Nov,5,5,5,5,yes
751,16th November 2019,2,Trip Verified,Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver,19-Nov,2,2,2,3,no
752,16th November 2019,2,Trip Verified,Boeing 747-400,Couple Leisure,Economy Class,New York to Paris via London,19-Nov,1,1,1,1,no
753,13th November 2019,2,Trip Verified,A320,Couple Leisure,Business Class,London Heathrow to Lisbon,19-Nov,4,1,5,2,no
754,13th November 2019,9,Not Verified,Boeing 777,Solo Leisure,Economy Class,London to Boston,19-Nov,4,4,4,3,yes
755,12th November 2019,9,Trip Verified,A320,Business,Economy Class,Tirana to London ,19-Nov,4,5,5,5,yes
756,11th November 2019,10,Trip Verified,Boeing 747-400,Solo Leisure,Economy Class,Gatwick to St Lucia,19-Nov,5,5,5,5,yes
757,11th November 2019,10,Trip Verified,Unknown,Family Leisure,Economy Class,London to Singapore,19-Nov,4,5,5,4,yes
758,10th November 2019,3,Trip Verified,Unknown,Solo Leisure,Economy Class,London to San Francisco,19-Nov,1,4,4,2,no
759,10th November 2019,9,Not Verified,A320,Couple Leisure,Business Class,Gatwick to Venice,19-Sep,4,5,5,4,yes
760,7th November 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Bordeaux to Gatwick,19-Sep,Unknown,Unknown,Unknown,1,no
761,2nd November 2019,10,Trip Verified,Boeing 787-9,Couple Leisure,Business Class,Seychelles to London,19-Oct,5,5,4,5,yes
762,2nd November 2019,1,Trip Verified,A320,Couple Leisure,Economy Class,London to Belfast,19-Oct,3,2,1,2,no
763,31st October 2019,1,Trip Verified,Unknown,Business,Premium Economy,London to Cape Town,19-Oct,Unknown,Unknown,1,1,no
764,31st October 2019,5,Trip Verified,Boeing 787,Couple Leisure,Business Class,San Jose to London,19-Oct,2,4,3,2,no
765,31st October 2019,4,Trip Verified,A321neo,Solo Leisure,Economy Class,London Heathrow to Edinburgh,19-Oct,1,3,3,3,yes
766,30th October 2019,8,Trip Verified,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Barbados,19-Oct,4,4,5,5,yes
767,30th October 2019,9,Trip Verified,Boeing 777,Couple Leisure,Economy Class,Toronto to London,19-Oct,3,5,5,5,yes
768,29th October 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Jeddah to London,19-Oct,1,1,1,1,no
769,29th October 2019,3,Not Verified,Unknown,Business,Economy Class,Zurich to London,19-Oct,1,1,2,3,no
770,29th October 2019,10,Trip Verified,A380,Couple Leisure,Business Class,San Francisco to London,19-Oct,5,5,5,4,yes
771,27th October 2019,10,Trip Verified,A319,Solo Leisure,Business Class,London to Belfast,19-Oct,5,5,5,5,yes
772,27th October 2019,1,Not Verified,Unknown,Couple Leisure,Economy Class,London Gatwick to Salzburg ,19-Apr,2,3,2,2,no
773,26th October 2019,1,Trip Verified,Unknown,Business,Economy Class,Frankfurt to London,19-Oct,1,4,1,1,no
774,25th October 2019,10,Trip Verified,Unknown,Business,Economy Class,Hyderabad to San Francisco via London,19-Oct,3,5,3,3,no
775,25th October 2019,2,Trip Verified,Boeing 747-400,Business,Business Class,Vancouver to London,19-Oct,4,1,3,2,no
776,25th October 2019,1,Trip Verified,A320,Solo Leisure,Economy Class,London to Malaga,19-Oct,1,1,1,1,no
777,24th October 2019,3,Trip Verified,A320,Business,Economy Class,Brussels to London,19-Oct,4,4,1,2,no
778,20th October 2019,1,Trip Verified,Boeing 777,Couple Leisure,Premium Economy,London to Singapore,19-Oct,1,1,3,1,no
779,20th October 2019,2,Trip Verified,Boeing 787,Solo Leisure,Premium Economy,Kuala Lumpur to Glasgow via London,19-Oct,5,1,2,1,no
780,20th October 2019,10,Trip Verified,Boeing 787-900,Couple Leisure,Business Class,London Heathrow to Seychelles,19-Oct,5,5,5,5,yes
781,19th October 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Edinburgh to London Heathrow,19-Oct,3,3,1,1,no
782,16th October 2019,8,Not Verified,A321,Couple Leisure,Economy Class,Amman to London,19-Sep,4,4,4,4,yes
783,16th October 2019,5,Trip Verified,A320,Business,Economy Class,London to Athens,19-Oct,3,2,4,2,no
784,16th October 2019,1,Not Verified,Boeing 777,Couple Leisure,Economy Class,New York JFK to London,19-Oct,1,2,1,1,no
785,15th October 2019,2,Trip Verified,Boeing 777-200,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,19-Sep,1,3,4,1,no
786,13th October 2019,8,Trip Verified,"Boeing 787-9, A320-200",Solo Leisure,Economy Class,Mexico City to Barcelona via London Heathrow,19-Sep,5,4,4,3,yes
787,12th October 2019,9,Trip Verified,A319,Couple Leisure,Economy Class,Bari to London Gatwick,19-Sep,4,5,4,5,yes
788,12th October 2019,4,Trip Verified,Boeing 787,Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,19-Sep,1,3,4,1,no
789,11th October 2019,9,Not Verified,Boeing 787-900,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,19-Oct,5,5,5,4,yes
790,11th October 2019,2,Trip Verified,Unknown,Couple Leisure,Economy Class,Johannesburg to Amsterdam via London,19-Sep,4,5,1,2,no
791,9th October 2019,10,Trip Verified,A350,Business,Business Class,Dubai to London Heathrow,19-Sep,5,5,5,4,yes
792,9th October 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Istanbul to New York via London,19-Oct,3,3,1,1,no
793,9th October 2019,10,Trip Verified,Unknown,Couple Leisure,Economy Class,Rome to London Heathrow,19-Oct,2,5,5,5,yes
794,9th October 2019,1,Trip Verified,A320,Business,Economy Class,London to Athens,19-Oct,1,3,1,1,no
795,8th October 2019,8,Not Verified,A320,Solo Leisure,Economy Class,London Heathrow to Newcastle,19-Oct,4,4,5,4,yes
796,8th October 2019,6,Not Verified,Unknown,Solo Leisure,Economy Class,Calgary to Gothenburg via London,19-Sep,1,4,4,3,yes
797,7th October 2019,10,Trip Verified,Boeing 787-9,Family Leisure,Economy Class,Kuala Lumpur to London,19-Oct,5,5,5,5,yes
798,6th October 2019,8,Trip Verified,Boeing 747,Couple Leisure,Business Class,Austin to London,19-Oct,3,3,3,4,yes
799,6th October 2019,7,Trip Verified,Boeing 787,Couple Leisure,Premium Economy,London to Kuala Lumpur,19-Aug,5,4,4,4,yes
800,3rd October 2019,1,Not Verified,Unknown,Couple Leisure,Premium Economy,Newark to Madrid via London,19-Oct,3,3,3,3,no
801,2nd October 2019,5,Not Verified,Unknown,Couple Leisure,Business Class,Kos to Gatwick,19-Oct,4,3,1,3,no
802,2nd October 2019,4,Not Verified,A320,Business,Business Class,Gatwick to Alicante,19-Sep,5,5,2,5,yes
803,1st October 2019,9,Trip Verified,A380,Solo Leisure,Premium Economy,Vancouver to London,19-Sep,5,5,4,4,yes
804,30th September 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Gatwick to Alicante,19-Sep,1,3,3,1,no
805,28th September 2019,10,Not Verified,Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,19-Sep,4,5,3,5,yes
806,28th September 2019,8,Trip Verified,Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,19-Sep,4,4,4,4,yes
807,27th September 2019,1,Not Verified,Unknown,Couple Leisure,Economy Class,London Gatwick to Jersey,19-Sep,Unknown,Unknown,Unknown,1,no
808,26th September 2019,7,Trip Verified,A320,Couple Leisure,Business Class,Cephalonia to London ,19-Sep,3,4,3,3,yes
809,26th September 2019,1,Not Verified,A380,Family Leisure,Economy Class,Chicago to Zurich via London,19-Aug,1,4,1,3,no
810,23rd September 2019,9,Trip Verified,Unknown,Solo Leisure,Business Class,Glasgow to London,19-Sep,4,5,5,5,yes
811,21st September 2019,9,Trip Verified,A321,Solo Leisure,Economy Class,London Heathrow to Berlin Tegel,19-Sep,5,5,3,5,yes
812,19th September 2019,1,Trip Verified,Unknown,Couple Leisure,Business Class,London to Milan,19-Sep,1,1,1,1,no
813,19th September 2019,3,Trip Verified,EMB190,Business,Economy Class,London to Geneva,19-Sep,4,2,4,2,no
814,18th September 2019,4,Trip Verified,Unknown,Couple Leisure,Business Class,Los Angeles to Istanbul via London,19-Sep,2,4,1,1,no
815,17th September 2019,5,Trip Verified,Unknown,Family Leisure,Premium Economy,Phoenix to Tel Aviv via London,19-Aug,3,5,1,1,no
816,16th September 2019,5,Not Verified,A320,Couple Leisure,Business Class,London to Kefalonia ,19-Sep,3,2,3,3,no
817,16th September 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Dublin,19-Sep,2,5,1,3,no
818,15th September 2019,1,Trip Verified,Unknown,Couple Leisure,Business Class,Hong Kong to London,19-Sep,3,4,1,1,no
819,15th September 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,Gatwick to Seville,19-Sep,3,3,1,1,no
820,14th September 2019,5,Trip Verified,Boeing 777-200,Business,Economy Class,London Heathrow to Abuja Nigeria,19-Sep,3,4,1,2,no
821,13th September 2019,4,Trip Verified,Boeing 777-300,Solo Leisure,Economy Class,London to Bangkok,19-Sep,2,3,4,3,no
822,12th September 2019,10,Trip Verified,Boeing 747-400,Couple Leisure,Business Class,Belfast to San Francisco via London,19-Aug,5,5,5,5,yes
823,11th September 2019,9,Trip Verified,A319,Couple Leisure,Economy Class,London to Gothenburg,19-Sep,4,4,4,4,yes
824,10th September 2019,1,Trip Verified,Unknown,Family Leisure,Business Class,Orlando to Gatwick,19-Jul,1,1,1,1,no
825,10th September 2019,3,Trip Verified,Boeing 787 / A320,Solo Leisure,Business Class,Mahe to Stockholm via London ,19-Sep,1,2,1,2,no
826,8th September 2019,8,Trip Verified,A319 / Boeing777,Couple Leisure,Business Class,Glasgow to Tampa via Gatwick,19-Sep,4,5,5,4,yes
827,7th September 2019,2,Not Verified,Boeing 777-200,Family Leisure,Economy Class,Orlando to Gatwick,19-Sep,2,3,3,1,no
828,6th September 2019,8,Trip Verified,Boeing 787,Family Leisure,Economy Class,London to Abu Dhabi,19-Aug,3,4,4,4,yes
829,6th September 2019,2,Trip Verified,A320,Couple Leisure,Business Class,London to St Petersburgh,19-Aug,1,3,5,1,no
830,4th September 2019,4,Trip Verified,Boeing 777,Business,Premium Economy,Sydney to London via Singapore,19-May,4,2,4,3,no
831,4th September 2019,2,Not Verified,A380,Couple Leisure,Business Class,London to Johannesburg,19-Sep,1,1,1,1,no
832,1st September 2019,2,Trip Verified,Unknown,Family Leisure,Business Class,Palma de Mallorca to London Heathrow,19-Aug,1,3,3,1,no
833,29th August 2019,10,Not Verified,Unknown,Family Leisure,Economy Class,Chennai to London,19-Aug,5,5,5,5,yes
834,28th August 2019,10,Trip Verified,Unknown,Solo Leisure,Economy Class,Edinburgh to Kuala Lumpur via London,19-Jul,5,5,5,5,yes
835,28th August 2019,1,Trip Verified,Unknown,Business,Business Class,London City to Amsterdam,19-Jul,3,3,1,1,no
836,26th August 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Dublin to Mauritius via London,19-Feb,Unknown,Unknown,Unknown,1,no
837,25th August 2019,9,Trip Verified,Boeing 777-200,Family Leisure,First Class,London to Shanghai,19-Aug,5,5,5,5,yes
838,24th August 2019,2,Not Verified,Unknown,Business,Business Class,Chicago to Heathrow via Barcelona,19-Aug,3,3,1,3,no
839,24th August 2019,10,Not Verified,Unknown,Family Leisure,Economy Class,New Orleans to London,18-Nov,5,5,5,5,yes
840,23rd August 2019,1,Trip Verified,Boeing 747,Family Leisure,Premium Economy,Boston to Copenhagen via London,19-Jun,1,1,1,1,no
841,23rd August 2019,2,Trip Verified,Unknown,Couple Leisure,Economy Class,Hong Kong to Copenhagen via London ,19-Aug,3,2,1,2,no
842,22nd August 2019,6,Trip Verified,Boeing 777-200,Business,Business Class,London Gatwick to San Jose Costa Rica,19-Jul,1,3,5,1,no
843,21st August 2019,5,Not Verified,Boeing 777,Solo Leisure,Economy Class,London to Dubai,19-Aug,3,4,1,3,no
844,21st August 2019,10,Trip Verified,"A340-300, A320",Family Leisure,Business Class,Toronto to Pisa London Heathrow,19-Aug,4,5,5,5,yes
845,21st August 2019,9,Trip Verified,A320,Family Leisure,Economy Class,London Heathrow to Venice Marco Polo,19-Aug,4,5,4,4,yes
846,20th August 2019,1,Trip Verified,Unknown,Couple Leisure,Premium Economy,Chicago to London,19-Aug,2,4,1,3,no
847,17th August 2019,3,Trip Verified,A321neo,Family Leisure,Economy Class,London to Larnaca,19-Aug,1,3,2,1,no
848,15th August 2019,10,Not Verified,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Orlando,19-Jul,4,5,5,4,yes
849,14th August 2019,6,Trip Verified,A320,Family Leisure,Economy Class,London to Munich,19-Aug,4,4,2,3,yes
850,14th August 2019,1,Trip Verified,Unknown,Business,Economy Class,London to Glasgow,19-Jun,2,2,1,1,no
851,13th August 2019,1,Trip Verified,Unknown,Business,Business Class,London to Hong Kong,19-Aug,1,5,4,1,no
852,12th August 2019,10,Trip Verified,A320,Solo Leisure,Economy Class,Vienna to Heathrow,19-Jul,4,5,5,4,yes
853,11th August 2019,2,Trip Verified,A321,Couple Leisure,Business Class,Malaga to London ,19-Aug,1,2,1,1,no
854,10th August 2019,2,Trip Verified,Unknown,Couple Leisure,Business Class,Sydney to Singapore,19-Aug,1,4,1,1,no
855,9th August 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London Heathrow to Inverness,19-Aug,2,3,1,1,no
856,9th August 2019,2,Not Verified,Unknown,Solo Leisure,Economy Class,Heathrow to Glasgow,19-Aug,1,1,1,1,no
857,9th August 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,Inverness to Vancouver via London,19-Aug,2,2,1,1,no
858,9th August 2019,1,Not Verified,Unknown,Couple Leisure,Economy Class,London Heathrow to Brussels,19-Aug,2,4,1,1,no
859,8th August 2019,1,Trip Verified,Unknown,Solo Leisure,Economy Class,London to Nice,19-Aug,Unknown,Unknown,1,1,no
860,7th August 2019,1,Trip Verified,A320,Couple Leisure,Business Class,Palma to London Heathrow,19-Aug,1,1,1,1,no
861,6th August 2019,1,Trip Verified,Unknown,Couple Leisure,Economy Class,London City to Ibiza,19-Aug,3,2,2,2,no
862,2nd August 2019,1,Not Verified,Unknown,Family Leisure,Economy Class,London to Faro,19-Aug,Unknown,Unknown,Unknown,1,no
863,2nd August 2019,3,Trip Verified,Unknown,Couple Leisure,Economy Class,Calgary to London,19-Jul,3,1,5,3,no
864,2nd August 2019,8,Not Verified,A321-200,Family Leisure,Economy Class,London Heathrow to Sofia,19-Jul,5,5,4,4,yes
865,2nd August 2019,1,Trip Verified,Unknown,Solo Leisure,Business Class,Nice to Kuwait via London,19-Jul,1,1,1,1,no
866,1st August 2019,9,Not Verified,Boeing 777,Couple Leisure,Economy Class,Buenos Aires to London Heathrow,19-Jul,3,5,4,4,yes
867,1st August 2019,6,Trip Verified,Boeing 777-300ER,Family Leisure,Economy Class,Hong Kong to London,19-Jul,4,3,2,3,yes
868,31st July 2019,3,Trip Verified,Unknown,Business,Premium Economy,London Heathrow to Las Vegas,19-Jul,3,4,1,3,no
869,31st July 2019,2,Trip Verified,A320,Solo Leisure,Business Class,London Heathrow to Malaga,19-Jul,2,1,3,1,no
870,30th July 2019,5,Trip Verified,B777-200,Business,Economy Class,London to Delhi,19-Jun,1,1,3,2,no
871,30th July 2019,6,Trip Verified,Unknown,Solo Leisure,Economy Class,Seattle to Durban via London,19-Jul,4,5,5,5,yes
872,30th July 2019,2,Trip Verified,Boeing 747-400,Family Leisure,Economy Class,London Heathrow to Austin,19-Jul,1,3,3,2,no
873,29th July 2019,1,Trip Verified,A320,Business,Business Class,Mykonos to London,19-Jul,2,1,1,1,no
874,29th July 2019,8,Trip Verified,Boeing 737-800,Family Leisure,Economy Class,Johannesburg OR Tambo to Cape Town,19-Jul,4,5,5,5,yes
875,28th July 2019,5,Trip Verified,Boeing 777-200,Family Leisure,Economy Class,Grenada to Gatwick,19-Jul,1,4,4,3,yes
876,27th July 2019,1,Trip Verified,Unknown,Family Leisure,Economy Class,Prague to London,19-Jul,1,1,1,1,no
877,24th July 2019,10,Trip Verified,Boeing 777,Solo Leisure,Premium Economy,London to Dubai,19-Jul,5,5,5,5,yes
